Chipotle,12.5,Food
McDonalds,10.0,Food
Walmart,32.75,Shopping
Gas,40.0,Transportation
Netflix,15.99,Entertainment
Target,24.5,Shopping
Chick-fil-A,13.25,Food
Shell,35.0,Transportation
Spotify,11.99,Entertainment
Amazon,28.4,Shopping
Taco Bell,9.75,Food
Exxon,42.0,Transportation
Hulu,9.99,Entertainment
Costco,45.6,Shopping
Panera,14.8,Food
Dominos,18.50,Food
Best Buy,67.99,Shopping
Uber,16.75,Transportation
Disney Plus,13.99,Entertainment
Kroger,38.25,Shopping
Subway,11.45,Food
Chevron,39.50,Transportation
YouTube Premium,13.99,Entertainment
Old Navy,29.99,Shopping
Wendys,12.80,Food
Metro,2.25,Transportation
Apple Music,10.99,Entertainment
Home Depot,54.75,Shopping
Five Guys,16.25,Food
Lyft,14.60,Transportation
Amazon Prime,14.99,Entertainment
Marshalls,41.50,Shopping
Starbucks,7.85,Food
Car Wash,18.00,Transportation
AMC,15.50,Entertainment
Nike,72.00,Shopping
Panda Express,14.25,Food
Parking,8.00,Transportation
Twitch,11.99,Entertainment
TJ Maxx,36.75,Shopping
